Seq,r,c,Ref B,Ref G,Ref R,Target B,Target G,Target B,Perceptibility,Curr Tot Min SLM,Target Tot Min SLM,Hard Decoding Errors,Soft Decoding Errors,Loc Mag,Loc Mag Ratio,Mean Pilot Mag
0,1,5,48.617777777777775,134.69444444444446,175.3022222222222,12.879260611055514,35.681697768882096,46.439041620062405,9.274376895722751,100,95,0/1044,0/512,-,-,-
0,1,6,49.01444444444444,134.64777777777778,175.95666666666668,12.948074659284362,35.56970805513243,46.48221728558319,9.49279705462132,100,95,0/1044,0/512,-,-,-
0,1,7,48.068888888888885,134.39777777777778,176.90777777777777,12.706925923750221,35.5278153087,46.76525876754979,9.599876937870837,100,95,0/1044,0/512,-,-,-
0,1,8,47.68,134.75666666666666,176.9911111111111,12.602253582082628,35.61740111597137,46.780345301945985,9.756718172633859,100,95,0/1044,0/512,-,-,-
0,1,9,47.077777777777776,134.85111111111112,177.01555555555555,12.459835938709178,35.690357529794156,46.849806531496675,9.918369364853993,100,95,0/1044,0/512,-,-,-
0,1,10,47.55,135.19,177.2888888888889,12.546909815878971,35.672276298815525,46.7808138853055,9.733580418028584,100,95,0/1044,0/512,-,-,-
0,1,11,47.53666666666667,135.50222222222223,177.61444444444444,12.52167362933935,35.692755123418,46.785571247242665,9.70887524966976,100,95,0/1044,0/512,-,-,-
0,1,12,45.90555555555556,136.47333333333333,178.09444444444443,12.098059341729702,35.96650700005548,46.93543365821481,9.688889535295132,100,95,0/1044,0/512,-,-,-
0,2,0,53.55555555555556,139.83444444444444,176.77333333333334,13.744683277952378,35.88759616625694,45.3677205557907,7.041976368825885,100,95,0/1044,0/512,-,-,-
0,2,1,52.66555555555556,139.43,178.52,13.499778146866772,35.740135030609736,45.76008682252348,7.799383784816059,100,95,0/1044,0/512,-,-,-
0,2,2,52.33111111111111,138.95444444444445,178.98666666666668,13.426488019325122,35.65126258458491,45.92224939608997,8.483654389062863,100,95,0/1044,0/512,-,-,-
0,2,3,51.57888888888889,138.60111111111112,178.7811111111111,13.280517368587477,35.68697393582582,46.032508695586706,8.829362819333413,100,95,0/1044,0/512,-,-,-
