Seq,r,c,Ref B,Ref G,Ref R,Target B,Target G,Target B,Perceptibility,Curr Tot Min SLM,Target Tot Min SLM,Hard Decoding Errors,Soft Decoding Errors,Loc Mag,Loc Mag Ratio,Mean Pilot Mag
0,1,12,44.08222222222222,130.41555555555556,172.88666666666666,14.593214050395655,43.173461358853146,57.2333245907512,10.424151226176164,120,115,0/1044,0/512,-,-,-
0,2,0,50.03888888888889,132.28,173.23333333333332,16.184604855670525,42.78471360669007,56.03068153763942,8.315857970951194,120,115,0/1044,0/512,-,-,-
0,2,1,48.61222222222222,132.30333333333334,174.2711111111111,15.739345195640476,42.836302038364806,56.42435276599472,8.422870783097583,120,115,0/1044,0/512,-,-,-
0,2,2,48.91444444444444,132.0088888888889,174.4011111111111,15.83105581127733,42.72439585730725,56.44454833141542,9.303025965812104,120,115,0/1044,0/512,-,-,-
0,2,3,47.336666666666666,131.8322222222222,174.36222222222221,15.398126206085902,42.88365317526667,56.71822061864742,9.613621439108861,120,115,0/1044,0/512,-,-,-
0,2,4,47.36333333333334,132.4311111111111,175.13666666666666,15.346029589466502,42.908545633268425,56.74542477726507,9.944536413466007,120,115,0/1044,0/512,-,-,-
0,2,5,47.42333333333333,132.54888888888888,175.21666666666667,15.354318515969593,42.915537898457785,56.73014358557263,9.88576571839124,120,115,0/1044,0/512,-,-,-
0,2,6,47.06333333333333,133.1911111111111,176.04333333333332,15.190337046415609,42.989259919917174,56.82040303366722,10.05271133696266,120,115,0/1044,0/512,-,-,-
0,2,7,46.653333333333336,133.00333333333333,177.80333333333334,15.00904530110595,42.78907663328297,57.20187806561106,9.849394713567827,120,115,0/1044,0/512,-,-,-
0,2,8,46.44444444444444,133.24555555555557,177.2,14.965706831547847,42.935467199666256,57.0988259687859,10.162411729476156,120,115,0/1044,0/512,-,-,-
0,2,9,45.62777777777778,133.05,176.85777777777778,14.758564544255615,43.03578013763274,57.205655318111646,10.065428911798767,120,115,0/1044,0/512,-,-,-
0,2,10,45.26555555555556,133.68333333333334,177.59666666666666,14.59992645477748,43.11814603712787,57.28192750809465,10.317305881993343,120,115,0/1044,0/512,-,-,-
0,2,11,44.73111111111111,134.43,178.36333333333334,14.388044951083375,43.240260184229825,57.371694864686795,9.853152005311102,120,115,0/1044,0/512,-,-,-
0,2,12,43.92111111111111,136.37333333333333,177.57888888888888,14.11373049434002,43.82258154654347,57.06368795911651,9.486406815865847,120,115,0/1044,0/512,-,-,-
0,2,13,43.873333333333335,134.9411111111111,178.47555555555556,14.121395318462127,43.43314332272881,57.44546135880906,9.880919655124018,120,115,0/1044,0/512,-,-,-
0,2,14,44.48222222222222,134.80666666666667,178.77777777777777,14.28632160367405,43.29575498045057,57.41792341587538,9.821088231283667,120,115,0/1044,0/512,-,-,-
0,3,0,50.83,136.31666666666666,176.61555555555555,16.069425693218406,43.095230095361444,55.835344211420164,8.453603071755902,120,115,0/1044,0/512,-,-,-
0,3,1,50.364444444444445,136.13666666666666,177.4688888888889,15.913155235626867,43.01375571246714,56.07308905190599,8.681117167243142,120,115,0/1044,0/512,-,-,-
0,3,2,49.48111111111111,136.26,178.23444444444445,15.633818510400577,43.05206698862561,56.314114500973815,8.892798990546366,120,115,0/1044,0/512,-,-,-
0,3,3,48.76777777777778,136.10888888888888,178.13888888888889,15.449184914022661,43.11804820117901,56.43276688479832,9.118353653819346,120,115,0/1044,0/512,-,-,-
0,3,4,48.80444444444444,136.43666666666667,178.48555555555555,15.430573629770826,43.13738338312652,56.43204298710264,9.4317264565428,120,115,0/1044,0/512,-,-,-
0,3,5,48.16777777777778,136.89555555555555,178.77,15.224812948541759,43.26978164605282,56.5054054054054,9.222384449763057,120,115,0/1044,0/512,-,-,-
0,3,6,47.60666666666667,137.47444444444446,179.34,15.023187460172755,43.38267084173072,56.59414169809652,9.086077020037221,120,115,0/1044,0/512,-,-,-
